DATE, DSWD, DOH, OCD, LGUs, NGO's, DEPED, DOLE,OP,DENR,PCSO,PRC,INGOs,DA,TOTAL
2018-2-22 08:00,52216070.72,36423855.36,9025761.56,51650298.91,26033338.44,22424875,30000000,70000000,538164,35000000,20884895,11116480,22079317,387394055.99
2018-2-21 08:00,45238288.72,36423855.36,9025761.56,51650298.91,26033338.44,22425875,30000000,70000000,538164,35000000,20884895,11116480,22079317,380416273.99
2018-2-20 08:00,?NDR,?NDR,?NDR,?NDR,?NDR,?NDR,?NDR,?NDR,?NDR,?NDR,?NDR,?NDR,?NDR,378161164.99
2018-2-19 08:00,43860684.72,36423855.36,9012564.61,51428309.91,25593074.44,16758370,30000000,70000000,538164,35000000,17945395,9500812,22079317,368140336.04
2018-2-18 08:00,42749958.72,36423855.36,9012564.61,51428309.91,24749690.44,16758370,30000000,70000000,538164,35000000,17945395,9500812,22079317,366186226.04
2018-2-17 08:00,42500958.72,36423855.36,9012564.61,51374309.91,23138546.44,16758370,30000000,70000000,538164,35000000,12781744.20,9500812,22079317,359108642.24
2018-2-16 08:00,40735380.72,36423855.36,9012564.61,51374309.91,23138546.44,16758370,30000000,70000000,538164,35000000,12781744.20,8100000,22079317,355942252.24
2018-2-15 08:00,45430214.72,36423855.36,8947077.88,51374309.91,23138546.44,16758370,30000000,70000000,538164,35000000,12781744.20,8100000,22079317,360571599.51
2018-2-14 08:00,43479794.72,36423855.36,8947077.88,48941726.36,22246960.44,16758370,30000000,70000000,538164,5000000,12584744.20,8100000,22079317,325080009.96
2018-2-13 08:00,43479794.72,36423855.36,8947077.88,48941726.36,22246960.44,16758370,30000000,70000000,538164,5000000,12584744.20,8100000,22079317,325080009.96
2018-2-12 08:00,38784960.72,36423855.36,8947077.88,48941726.36,20761907.44,16758370,30000000,70000000,538164,5000000,12584744.20,8100000,22079317,318790821.96
2018-2-11 08:00,38018748.72,36423855.36,8947077.88,48941726.36,20761907.44,16758370,30000000,70000000,538164,5000000,10557224.20,8100000,22079317,315997089.96
2018-2-10 08:00,34386336.72,36423855.36,8911336.67,48812425.36,20761907.44,16758370,30000000,70000000,538164,5000000,10557224.20,8100000,0,290249619.75
2018-2-09 08:00,34386336.72,36423855.36,8911336.67,48812425.36,20761907.44,16758370,30000000,70000000,538164,5000000,10351224.20,8100000,0,290043619.75
2018-2-08 08:00,32833008.72,36423855.36,8904923.10,48812425.36,20761907.44,16758370,30000000,70000000,538164,5000000,10195004.20,8100000,0,288327658.18
2018-2-07 08:00,32833008.72,21644985.41,8894943.28,48812425.36,10240448.00,16758370,39851050,70000000,538164,5000000,10195004.20,0,0,264768398.97
2018-2-06 08:00,32833008.72,21644985.41,8894943.28,2849124.62,10240448.00,16758370,10000000,0,538164,0,9780822,0,0,113539866.03
2018-2-05 08:00,32833008.72,21644985.41,8854057.05,2849124.62,10240448.00,16758370,10000000,0,538164,0,9780822,0,0,113498979.80
2018-2-04 08:00,32833008.72,21644985.41,8762057.05,2849124.62,10240448.00,16758370,10000000,0,538164,0,9780822,0,0,113406979.80
2018-2-03 08:00,32833008.72,21644985.41,8762057.05,2849124.62,10240448.00,16758370,10000000,0,538164,0,9780822,0,0,113406979.80
2018-2-02 08:00,18927024.72,21644985.41,8751647.57,2849124.62,10240448.00,16758370,10000000,0,538164,0,9780822,0,0,99490586.32
2018-2-01 08:00,18927024.72,21644985.41,8751647.57,2849124.62,30381550.76,16758370,10000000,0,538164,0,9780822,0,0,119631689.08
